iter	Passed	Remaining
406	5781	8423
407	5794	8408
408	5809	8395
409	5823	8379
410	5837	8366
411	5851	8350
412	5866	8337
413	5879	8322
414	5894	8308
415	5909	8295
416	5922	8279
417	5936	8265
418	5948	8248
419	5962	8234
420	5976	8219
421	5990	8205
422	6004	8191
423	6018	8175
424	6030	8159
425	6046	8146
426	6060	8133
427	6074	8118
428	6090	8106
429	6105	8092
430	6120	8080
431	6138	8071
432	6156	8061
433	6171	8048
434	6185	8034
435	6201	8021
436	6216	8009
437	6232	7997
438	6246	7982
439	6261	7968
440	6277	7957
441	6292	7943
442	6305	7927
443	6319	7913
444	6332	7897
445	6346	7883
446	6360	7868
447	6374	7853
448	6388	7839
449	6403	7826
450	6418	7813
451	6431	7798
452	6444	7781
453	6457	7765
454	6471	7751
455	6485	7736
456	6498	7721
457	6511	7705
458	6523	7689
459	6535	7672
460	6548	7656
461	6560	7639
462	6573	7624
463	6587	7610
464	6602	7596
465	6615	7580
466	6629	7566
467	6643	7551
468	6656	7536
469	6669	7520
470	6680	7503
471	6695	7490
472	6709	7475
473	6721	7458
474	6733	7442
475	6747	7428
476	6760	7412
477	6775	7398
478	6788	7383
479	6802	7369
480	6815	7354
481	6830	7340
482	6844	7326
483	6860	7314
484	6876	7302
485	6893	7290
486	6907	7276
487	6922	7262
488	6936	7248
489	6950	7234
490	6964	7219
491	6978	7205
492	6991	7190
493	7003	7173
494	7016	7158
495	7028	7141
496	7039	7124
497	7052	7109
498	7064	7093
499	7078	7078
500	7090	7062
501	7103	7046
502	7116	7031
503	7129	7015
504	7140	6999
505	7155	6985
506	7170	6972
507	7182	6955
508	7195	6941
509	7207	6924
510	7220	6909
511	7233	6894
512	7246	6879
513	7260	6865
514	7274	6850
515	7287	6835
516	7299	6819
517	7312	6804
518	7323	6787
519	7337	6773
520	7349	6757
521	7362	6741
522	7374	6726
523	7388	6711
524	7399	6695
525	7411	6678
526	7423	6662
527	7434	6646
528	7446	6630
529	7459	6615
530	7471	6599
531	7484	6584
532	7498	6569
533	7511	6555
534	7523	6539
535	7537	6524
536	7550	6510
537	7563	6495
538	7577	6480
539	7590	6465
540	7602	6450
541	7614	6434
542	7625	6418
543	7637	6402
544	7650	6386
545	7661	6370
546	7673	6354
547	7687	6340
548	7699	6325
549	7711	6309
550	7725	6295
551	7738	6280
552	7751	6265
553	7764	6250
554	7777	6236
555	7790	6220
556	7803	6206
557	7816	6191
558	7829	6176
559	7841	6161
560	7855	6147
561	7867	6131
562	7880	6116
563	7893	6101
564	7905	6086
565	7917	6071
566	7929	6055
567	7940	6039
568	7952	6023
569	7966	6010
570	7979	5994
571	7991	5979
572	8005	5965
573	8018	5950
574	8034	5938
575	8047	5923
576	8060	5909
577	8074	5895
578	8087	5880
579	8100	5865
580	8113	5851
581	8126	5836
582	8139	5822
583	8154	5808
584	8167	5794
585	8179	5778
586	8192	5764
587	8207	5750
588	8224	5738
589	8237	5724
590	8252	5710
591	8264	5695
592	8278	5681
593	8291	5667
594	8303	5652
595	8316	5637
596	8331	5623
597	8345	5610
598	8358	5595
599	8373	5582
600	8386	5567
601	8400	5553
602	8414	5540
603	8427	5525
604	8441	5511
605	8456	5497
606	8468	5483
607	8480	5467
608	8495	5454
609	8508	5439
610	8522	5425
611	8533	5410
612	8547	5396
613	8561	5382
614	8574	5368
615	8588	5353
616	8603	5340
617	8616	5326
618	8630	5311
619	8645	5298
620	8657	5284
621	8672	5270
622	8684	5255
623	8697	5240
624	8711	5226
625	8725	5212
626	8740	5199
627	8753	5185
628	8765	5170
629	8778	5155
630	8792	5141
631	8805	5127
632	8818	5113
633	8832	5098
634	8846	5084
635	8859	5070
636	8872	5055
637	8884	5040
638	8897	5026
639	8909	5011
640	8922	4997
641	8937	4984
642	8952	4970
643	8966	4956
644	8980	4942
645	8995	4929
646	9010	4915
647	9022	4901
648	9036	4887
649	9049	4872
650	9060	4857
651	9073	4842
652	9087	4828
653	9099	4813
654	9111	4799
655	9125	4785
656	9138	4770
657	9152	4757
658	9166	4743
659	9179	4728
660	9191	4714
661	9205	4700
662	9219	4685
663	9232	4671
664	9244	4657
665	9257	4642
666	9270	4628
667	9282	4613
668	9295	4599
669	9308	4584
670	9321	4570
671	9335	4556
672	9348	4542
673	9361	4528
674	9373	4513
675	9386	4498
676	9398	4484
677	9412	4470
678	9425	4455
679	9437	4441
680	9449	4426
681	9463	4412
682	9475	4397
683	9486	4382
684	9499	4368
685	9513	4354
686	9527	4340
687	9540	4326
688	9552	4311
689	9564	4297
690	9576	4282
691	9589	4268
692	9602	4254
693	9617	4240
694	9630	4226
695	9640	4210
696	9655	4197
697	9668	4183
698	9682	4169
699	9696	4155
700	9712	4142
701	9725	4128
702	9739	4114
703	9752	4100
704	9765	4086
705	9778	4072
706	9791	4057
707	9804	4043
708	9817	4029
709	9831	4015
710	9844	4001
711	9856	3986
712	9868	3972
713	9881	3957
714	9894	3944
715	9907	3929
716	9919	3915
717	9932	3900
718	9945	3886
719	9958	3872
720	9971	3858
721	9983	3844
722	9996	3829
723	10009	3815
724	10023	3802
725	10035	3787
726	10047	3773
727	10062	3759
728	10074	3744
729	10086	3730
730	10100	3717
731	10113	3702
732	10126	3688
733	10139	3674
734	10153	3660
735	10166	3646
736	10180	3632
737	10193	3618
738	10206	3604
739	10220	3590
740	10232	3576
741	10246	3562
742	10262	3549
743	10279	3537
744	10297	3524
745	10315	3512
746	10333	3499
747	10346	3485
748	10361	3472
749	10376	3458
750	10400	3448
751	10425	3438
752	10446	3426
753	10464	3414
754	10478	3400
755	10500	3389
756	10519	3376
757	10532	3362
758	10546	3348
759	10559	3334
760	10573	3320
761	10587	3306
762	10601	3292
763	10615	3279
764	10630	3265
765	10644	3251
766	10657	3237
767	10672	3223
768	10687	3210
769	10701	3196
770	10714	3182
771	10728	3168
772	10741	3154
773	10755	3140
774	10769	3126
775	10781	3112
776	10794	3098
777	10808	3084
778	10822	3070
779	10837	3056
780	10850	3042
781	10863	3028
782	10876	3014
783	10891	3000
784	10906	2987
785	10919	2973
786	10932	2958
787	10946	2944
788	10958	2930
789	10971	2916
790	10984	2902
791	10997	2888
792	11010	2874
793	11022	2859
794	11034	2845
795	11047	2831
796	11059	2817
797	11074	2803
798	11087	2789
799	11099	2774
800	11111	2760
801	11125	2746
802	11138	2732
803	11152	2718
804	11166	2704
805	11179	2690
806	11191	2676
807	11203	2662
808	11216	2648
809	11229	2634
810	11241	2619
811	11253	2605
812	11265	2591
813	11278	2577
814	11291	2563
815	11305	2549
816	11318	2535
817	11331	2521
818	11342	2506
819	11355	2492
820	11368	2478
821	11380	2464
822	11393	2450
823	11406	2436
824	11419	2422
